rok,teplota,dest,snih,true
1975,0.6666666666666666,0.0,0.0,True
1976,-1.0625,0.0,0.0,False
1977,2.5250000000000004,3.2,0.0,True
1978,-2.0624999999999996,0.0,1.33,False
1979,-2.462500000000001,0.0,0.0,False
1980,3.029166666666667,1.0000000000000002,0.0,True
1981,4.279166666666666,2.1,0.77,True
1982,0.9208333333333335,0.7000000000000001,0.0,True
1983,-0.8666666666666667,0.0,1.5400000000000005,False
1984,3.4874999999999994,5.6,0.0,True
1985,0.479166666666667,0.0,0.35000000000000003,True
1986,-9.049999999999999,0.0,0.0,False
1987,1.6416666666666666,7.3999999999999995,0.14,True
1988,6.604166666666665,4.0,0.0,True
1989,3.6250000000000004,0.0,0.0,True
1990,4.5458333333333325,0.0,0.0,True
1991,-3.358333333333333,0.0,2.519999999999999,False
1992,6.458333333333332,8.0,0.0,True
1993,1.075,0.4,0.0,True
1994,5.604166666666667,0.0,0.0,True
1995,8.633333333333335,0.0,0.0,True
1996,-11.916666666666666,0.0,0.0,False
1997,-0.6625,0.0,0.0,False
1998,0.9874999999999999,0.0,0.0,True
1999,0.4708333333333334,0.30000000000000004,1.3299999999999998,True
2000,4.770833333333333,0.0,0.0,True
2001,6.920833333333334,0.0,0.0,True
2002,2.9166666666666665,0.4,0.0,True
2003,-2.6208333333333336,0.0,0.0,False
2004,8.604166666666666,0.0,0.0,True
2005,-6.766666666666667,0.0,0.0,False
2006,-6.266666666666668,3.0999999999999996,5.53,False
2007,3.258333333333333,0.7000000000000001,0.14,True
2008,4.687499999999999,1.4,0.0,True
2009,8.741666666666667,0.5,0.0,True
2010,-7.375000000000001,0.0,0.0,False
2011,2.55,0.0,0.0,True
2012,-10.391666666666666,0.0,0.49000000000000005,False
2013,-0.28333333333333344,0.0,0.0,False
2014,2.4,0.1,0.0,True
2015,-3.850000000000001,0.0,0.0,False
2016,5.704166666666667,0.0,0.0,True
2017,-1.3499999999999999,0.0,0.0,False
2018,0.5499999999999999,2.1,3.0799999999999996,True
2019,-0.6499999999999998,0.0,0.0,False
2020,4.520833333333333,0.0,0.0,True
2021,0.13333333333333322,7.5,0.35000000000000003,True
2022,4.491666666666666,3.600000000000001,0.07,True
2023,-4.029166666666666,0.0,0.0,False
2024,8.654166666666665,0.0,0.0,True
