rok,teplota,dest,snih,true
1940,17.349999999999998,0.0,0.0,False
1941,13.2125,0.4,0.0,True
1942,18.999999999999996,0.0,0.0,False
1943,16.80416666666667,2.4000000000000004,0.0,True
1944,17.466666666666665,0.0,0.0,False
1945,17.77916666666667,0.1,0.0,True
1946,18.57083333333333,0.3,0.0,True
1947,11.383333333333331,1.9000000000000001,0.0,True
1948,20.941666666666666,0.0,0.0,False
1949,14.875,8.8,0.0,True
1950,15.9125,0.0,0.0,False
1951,15.725,0.0,0.0,False
1952,15.258333333333335,1.2,0.0,True
1953,18.208333333333336,14.200000000000001,0.0,True
1954,17.63333333333333,0.0,0.0,False
1955,12.429166666666662,0.0,0.0,False
1956,17.945833333333333,0.9,0.0,True
1957,21.220833333333335,0.30000000000000004,0.0,True
1958,13.295833333333333,3.1000000000000005,0.0,True
1959,13.5375,7.3999999999999995,0.0,True
1960,16.125,0.0,0.0,False
1961,17.05833333333333,0.2,0.0,True
1962,13.320833333333333,0.6,0.0,True
1963,17.8125,0.0,0.0,False
1964,20.59166666666667,0.0,0.0,False
1965,14.458333333333334,0.3,0.0,True
1966,21.712500000000002,1.3,0.0,True
1967,11.3375,0.7999999999999999,0.0,True
1968,12.5625,0.2,0.0,True
1969,17.500000000000004,0.0,0.0,False
1970,19.05,0.0,0.0,False
1971,13.899999999999999,8.6,0.0,True
1972,20.379166666666666,0.7,0.0,True
1973,17.2625,0.0,0.0,False
1974,11.575000000000001,1.7999999999999998,0.0,True
1975,19.28333333333333,0.4,0.0,True
1976,16.75416666666667,0.0,0.0,False
1977,21.86666666666667,0.0,0.0,False
1978,14.016666666666667,0.2,0.0,True
1979,19.70416666666667,8.6,0.0,True
1980,19.175,0.0,0.0,False
1981,22.429166666666664,0.0,0.0,False
1982,19.375,16.7,0.0,True
1983,18.35,0.0,0.0,False
1984,11.908333333333331,0.0,0.0,False
1985,14.366666666666667,0.0,0.0,False
1986,14.204166666666667,14.200000000000001,0.0,True
1987,19.191666666666666,0.0,0.0,False
1988,15.433333333333335,0.7,0.0,True
1989,16.5125,0.0,0.0,False
1990,16.566666666666663,0.0,0.0,False
1991,16.82916666666667,0.0,0.0,False
1992,17.725,2.8000000000000003,0.0,True
1993,16.408333333333335,9.8,0.0,True
1994,15.699999999999998,0.0,0.0,False
1995,15.708333333333336,8.600000000000001,0.0,True
1996,23.22083333333333,1.6,0.0,True
1997,21.304166666666664,1.9000000000000001,0.0,True
1998,16.025,11.799999999999999,0.0,True
1999,15.19166666666667,24.9,0.0,True
2000,24.5625,1.1,0.0,True
2001,13.262500000000001,0.4,0.0,True
2002,16.75416666666667,0.0,0.0,False
2003,24.358333333333338,0.0,0.0,False
2004,18.883333333333333,1.0,0.0,True
2005,14.012499999999998,3.3000000000000003,0.0,True
2006,17.98333333333333,0.0,0.0,False
2007,21.933333333333337,0.0,0.0,False
2008,16.67916666666667,0.2,0.0,True
2009,14.820833333333335,1.4000000000000001,0.0,True
2010,24.133333333333336,8.5,0.0,True
2011,16.891666666666666,4.1,0.0,True
2012,16.59166666666667,10.599999999999998,0.0,True
2013,16.041666666666664,0.0,0.0,False
2014,23.4375,0.4,0.0,True
2015,24.24166666666667,1.5999999999999999,0.0,True
2016,17.624999999999996,0.7,0.0,True
2017,22.47916666666666,0.1,0.0,True
2018,23.25833333333333,1.0,0.0,True
2019,25.64583333333333,0.0,0.0,False
2020,19.554166666666667,0.7,0.0,True
2021,21.054166666666664,0.5,0.0,True
2022,20.654166666666665,0.0,0.0,False
2023,16.912500000000005,0.0,0.0,False
2024,13.941666666666665,1.9,0.0,True
